#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EHHADH	HADHB	9606.ENSP00000231887	9606.ENSP00000325136	0.057	0.018	0	0	0.129	0.296	0.900	0.652	0.976
HADH	HSD17B10	9606.ENSP00000474560	9606.ENSP00000168216	0	0	0	0	0.090	0	0.800	0.711	0.942
HADH	HMGCS1	9606.ENSP00000474560	9606.ENSP00000322706	0	0	0	0	0.061	0	0.900	0.335	0.932
HADH	HADHB	9606.ENSP00000474560	9606.ENSP00000325136	0.093	0.006	0.295	0	0.166	0.350	0.900	0.883	0.995
HADH	HMGCS2	9606.ENSP00000474560	9606.ENSP00000358414	0	0	0	0	0.061	0	0.900	0.433	0.942
HADH	HADHA	9606.ENSP00000474560	9606.ENSP00000370023	0.072	0	0.287	0.780	0.143	0	0.900	0.874	0.934
HADHA	HSD17B10	9606.ENSP00000370023	9606.ENSP00000168216	0	0	0	0	0.146	0.103	0.900	0.334	0.942
HADHA	HADHB	9606.ENSP00000370023	9606.ENSP00000325136	0.057	0.042	0.315	0	0.984	0.996	0.900	0.918	0.999
HADHA	HMGCS2	9606.ENSP00000370023	9606.ENSP00000358414	0.072	0	0	0	0.059	0	0	0.484	0.510
HADHB	HSD17B10	9606.ENSP00000325136	9606.ENSP00000168216	0	0	0	0	0.822	0.117	0.900	0.469	0.990
HADHB	HMGCS1	9606.ENSP00000325136	9606.ENSP00000322706	0.093	0	0	0	0.143	0.370	0.900	0.474	0.969
HADHB	HMGCS2	9606.ENSP00000325136	9606.ENSP00000358414	0.093	0	0	0	0.143	0.370	0.900	0.537	0.973
HMGCS1	HMGCS2	9606.ENSP00000322706	9606.ENSP00000358414	0	0	0.447	0.968	0.062	0	0.800	0.902	0.812
